# 2020-04-12 09:02:15 Translations: 866
Nr	Translated	Id	Translation	English
808	N	subset-facts.node-refs	[{VAR_PLURAL, plural, one {node} other {nodes} }]	{VAR_PLURAL, plural, one {node} other {nodes} }
809	N	subset-facts.orphan-routes	[Orphan routes]	Orphan routes
810	N	subset-facts.osm-node-refs	[{VAR_PLURAL, plural, one {node} other {nodes} }]	{VAR_PLURAL, plural, one {node} other {nodes} }
811	N	subset-facts.osm-relation-refs	[{VAR_PLURAL, plural, one {relation} other {relations} }]	{VAR_PLURAL, plural, one {relation} other {relations} }
812	N	subset-facts.osm-way-refs	[{VAR_PLURAL, plural, one {way} other {ways} }]	{VAR_PLURAL, plural, one {way} other {ways} }
813	N	subset-facts.route-refs	[{VAR_PLURAL, plural, one {route} other {routes} }]	{VAR_PLURAL, plural, one {route} other {routes} }
814	N	subset-facts.routes	[{VAR_PLURAL, plural, one {1 route} other { routes} }]	{VAR_PLURAL, plural, one {1 route} other { routes} }
815	N	subset-facts.title	[Facts]	Facts
816	N	subset-map.dialog.close	[Close]	Close
817	N	subset-map.dialog.nodeCount	[nodes]	nodes
818	N	subset-map.dialog.routeCount	[routes]	routes
819	N	subset-map.dialog.show-network-details	[Show network details]	Show network details
820	N	subset-map.title	[Map]	Map
821	N	subset-network.summary	[km, nodes, routes]	km, nodes, routes
822	N	subset-networks.no-networks	[No networks]	No networks
823	N	subset-networks.summary	[_There are ____ networks, with a total of ____ nodes and ____ routes with an overall length of ____ km._]	_There are ____ networks, with a total of ____ nodes and ____ routes with an overall length of ____ km._
824	N	subset-networks.table.broken	[Broken]	Broken
825	N	subset-networks.table.connections	[Connections]	Connections
826	N	subset-networks.table.integrity	[Integrity]	Integrity
827	N	subset-networks.table.integrity-nodes	[Nodes]	Nodes
828	N	subset-networks.table.length	[Length]	Length
829	N	subset-networks.table.network	[Network]	Network
830	N	subset-networks.table.nodes	[Nodes]	Nodes
831	N	subset-networks.table.ok	[OK]	OK
832	N	subset-networks.table.routes	[Routes]	Routes
833	N	subset-networks.title	[Networks]	Networks
834	N	subset-orphan-nodes.extra-tags	[Extra tags:]	Extra tags:
835	N	subset-orphan-nodes.no-routes	[No orphan nodes]	No orphan nodes
836	N	subset-orphan-nodes.title	[Orphan nodes]	Orphan nodes
837	N	subset-orphan-routes.extra-tags	[Extra tags:]	Extra tags:
838	N	subset-orphan-routes.no-routes	[No orphan routes]	No orphan routes
839	N	subset-orphan-routes.route-is-broken	[route is broken]	route is broken
840	N	subset-orphan-routes.title	[Orphan routes]	Orphan routes
841	N	subset-page.menu.changes	[Changes]	Changes
842	N	subset-page.menu.facts	[Facts]	Facts
843	N	subset-page.menu.map	[Map]	Map
844	N	subset-page.menu.networks	[Networks]	Networks
845	N	subset-page.menu.orphan-nodes	[Orphan Nodes]	Orphan nodes
846	N	subset-page.menu.orphan-routes	[Orphan routes]	Orphan routes
847	N	subset.in	[in]	in
848	N	tag-diffs.added-tag	[Added tag]	Added tag
849	N	tag-diffs.added-tags	[Added tags]	Added tags
850	N	tag-diffs.after	[After]	After
851	N	tag-diffs.before	[Before]	Before
852	N	tag-diffs.deleted-tag	[Deleted tag]	Deleted tag
853	N	tag-diffs.deleted-tags	[Deleted tags]	Deleted tags
854	N	tag-diffs.key	[Key]	Key
855	N	tag-diffs.same-tag	[Same tag]	Same tag
856	N	tag-diffs.same-tags	[Same tags]	Same tags
857	N	tag-diffs.table	[Tag differences]	Tag differences
858	N	tag-diffs.updated-tag	[Updated tag]	Updated tag
859	N	tag-diffs.updated-tags	[Updated tags]	Updated tags
860	N	tag-diffs.value	[Value]	Value
861	N	tags.key	[Key]	Key
862	N	tags.no-tags	[No tags]	No tags
863	N	tags.value	[Value]	Value
864	N	toolbar.title	[knooppuntnet]	knooppuntnet
865	N	version-change.relation-changed-to	[Relation changed to]	Relation changed to v
866	N	version-change.relation-unchanged	[Relation unchanged]	Relation unchanged.
